epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1893.82,1.24309,0.85415,1.04496,0.7268,0.71217,0.65362,0.39051,0.98212,0.62965,0.91857,0.0700291,0.0033301,0.0033301
2,3866.37,1.11384,0.57905,0.99724,0.72377,0.72966,0.65979,0.39828,0.99891,0.6159,0.92083,0.0399631,0.00659747,0.00659747
3,5564.11,1.14732,0.61278,1.0149,0.72003,0.76052,0.66873,0.39594,0.99224,0.63998,0.93032,0.00983113,0.00979883,0.00979883
4,7426.25,1.13881,0.60574,1.02238,0.75299,0.74367,0.6915,0.39751,1.0368,0.65082,0.95366,0.009703,0.009703,0.009703
5,9123.25,1.09065,0.56791,1.00652,0.77741,0.77937,0.70497,0.41728,0.94937,0.60024,0.92323,0.009604,0.009604,0.009604
6,10817.8,1.03276,0.53281,0.98722,0.7341,0.76155,0.68751,0.41396,0.92469,0.60592,0.92109,0.009505,0.009505,0.009505
7,12512.7,0.9938,0.513,0.9758,0.76088,0.76772,0.72083,0.43086,0.91001,0.57908,0.91638,0.009406,0.009406,0.009406
8,14208.2,0.96435,0.4972,0.96778,0.74983,0.75908,0.71309,0.42453,0.90781,0.58921,0.91923,0.009307,0.009307,0.009307
9,15905.6,0.94507,0.48165,0.96034,0.76461,0.7811,0.71458,0.42966,0.87126,0.55297,0.90884,0.009208,0.009208,0.009208
10,17598.9,0.92147,0.47085,0.95225,0.7426,0.79036,0.72234,0.43739,0.87591,0.55946,0.91163,0.009109,0.009109,0.009109
11,19296,0.90518,0.4582,0.94687,0.75937,0.80949,0.73575,0.43847,0.86341,0.54859,0.90861,0.00901,0.00901,0.00901
12,20991.5,0.8865,0.44839,0.93948,0.75672,0.75846,0.70589,0.43561,0.89228,0.56012,0.91576,0.008911,0.008911,0.008911
13,22685.9,0.87782,0.445,0.93512,0.75539,0.79756,0.70746,0.43655,0.85218,0.53618,0.90419,0.008812,0.008812,0.008812
14,24380.8,0.87034,0.43871,0.93293,0.76258,0.8099,0.72487,0.44252,0.85571,0.53213,0.89945,0.008713,0.008713,0.008713
15,26079.9,0.85911,0.43197,0.93027,0.76568,0.80373,0.72418,0.44523,0.83438,0.53402,0.89849,0.008614,0.008614,0.008614
16,27775,0.84692,0.42384,0.92582,0.76302,0.79756,0.72403,0.44971,0.83037,0.5274,0.89904,0.008515,0.008515,0.008515
17,29470,0.84287,0.42198,0.92627,0.75548,0.79653,0.7231,0.44575,0.83867,0.52305,0.89986,0.008416,0.008416,0.008416
18,31164.1,0.83328,0.41853,0.92121,0.74272,0.79304,0.70561,0.44609,0.8258,0.52813,0.89537,0.008317,0.008317,0.008317
19,32856.9,0.82707,0.41473,0.91897,0.76799,0.80682,0.72885,0.44998,0.83884,0.53038,0.90093,0.008218,0.008218,0.008218
20,34632.1,0.81731,0.40879,0.91554,0.76091,0.78213,0.72078,0.44381,0.82685,0.52637,0.8939,0.008119,0.008119,0.008119
21,36327.1,0.80526,0.40134,0.91192,0.78632,0.82328,0.74229,0.45248,0.83162,0.52602,0.89927,0.00802,0.00802,0.00802
22,38020.2,0.80374,0.40102,0.91005,0.77241,0.79756,0.72774,0.45114,0.82075,0.51029,0.89307,0.007921,0.007921,0.007921
23,39715.7,0.79854,0.39749,0.90919,0.76056,0.80165,0.72829,0.45037,0.82067,0.51949,0.89282,0.007822,0.007822,0.007822
24,41408.2,0.79057,0.39272,0.90806,0.77376,0.81196,0.74653,0.45648,0.81102,0.52077,0.89212,0.007723,0.007723,0.007723
25,43103.7,0.78498,0.39088,0.90472,0.77668,0.81093,0.74738,0.45897,0.80624,0.51361,0.88904,0.007624,0.007624,0.007624
26,45363.3,0.78109,0.38736,0.90457,0.77235,0.8156,0.73539,0.45464,0.81364,0.50819,0.89279,0.007525,0.007525,0.007525
27,47311.8,0.7766,0.386,0.90118,0.76616,0.79036,0.73352,0.45434,0.81439,0.50799,0.8917,0.007426,0.007426,0.007426
28,49177.8,0.76867,0.38072,0.89947,0.77177,0.79653,0.73041,0.45414,0.80355,0.50951,0.88947,0.007327,0.007327,0.007327
29,51124.7,0.76414,0.37901,0.89719,0.74471,0.77124,0.70628,0.44615,0.81288,0.51249,0.89474,0.007228,0.007228,0.007228
30,52898.9,0.75789,0.3772,0.8967,0.7652,0.79756,0.72463,0.45486,0.81106,0.50931,0.89114,0.007129,0.007129,0.007129
31,54792.7,0.75616,0.37399,0.89697,0.74923,0.79447,0.71527,0.4521,0.80179,0.5006,0.89222,0.00703,0.00703,0.00703
32,56607.5,0.75417,0.37339,0.89495,0.75152,0.78418,0.71733,0.45309,0.80116,0.51946,0.89081,0.006931,0.006931,0.006931
33,58388.5,0.74591,0.36847,0.89367,0.75322,0.76344,0.71678,0.44887,0.79994,0.51431,0.88906,0.006832,0.006832,0.006832
34,60158,0.74297,0.36828,0.89229,0.75364,0.77904,0.71539,0.4502,0.8145,0.51045,0.89431,0.006733,0.006733,0.006733
35,61921.7,0.74076,0.36677,0.89339,0.75244,0.79344,0.71572,0.45207,0.80905,0.50729,0.8949,0.006634,0.006634,0.006634
